m/z	z	Intensity	Peptide #	Ion Type	Index	Charge	Elem Comp	Error
213.3200	1	0						
213.3600	1	0						
213.4000	1	0						
213.4400	1	0						
213.4800	1	0						
213.5200	1	0						
213.5600	1	0						
213.6000	1	0	2	y	4	2	C18 H32 N7 O5	-125
213.6400	1	0	2	y	4	2	C18 H32 N7 O5	63
213.6800	1	0	2	y	4	2	C18 H32 N7 O5	250
213.7200	1	0						
213.7600	1	0						
213.8000	1	0						
213.8400	1	0						
213.8800	1	0						
213.9200	1	0						
213.9600	1	4.13e-4						
214.0000	1	7.67e-4						
214.0400	1	4.14e-4						
214.0800	1	1.27e-4						
214.1200	1	2.10e-5						
214.1600	1	0						
214.2000	1	0						
214.2400	1	0						
214.2800	1	0						
214.3200	1	0						
214.3600	1	0						
214.4000	1	0						
214.4400	1	0						
214.4800	1	0						
214.5200	1	0						
214.5600	1	0						
214.6000	1	0						
214.6400	1	0						
214.6800	1	0						
214.7200	1	0						
214.7600	1	4.30e-5						
214.8000	1	3.42e-4						
214.8400	1	4.16e-4						
214.8800	1	1.94e-4						
214.9200	1	5.60e-5						
214.9600	1	7.00e-6						
215.0000	1	0						
215.0400	1	0						
215.0800	1	0						
215.1200	1	0						
215.1600	1	0						
215.2000	1	0						
215.2400	1	0						
215.2800	1	0						
215.3200	1	0						
215.3600	1	0						
215.4000	1	0						
215.4400	1	0						
215.4800	1	0						
215.5200	1	0						
215.5600	1	0						
215.6000	1	0						
215.6400	1	0						
215.6800	1	0						
215.7200	1	0						
215.7600	1	0						
215.8000	1	0						
215.8400	1	0						
215.8800	1	0						
215.9200	1	0						
215.9600	1	5.30e-5						
216.0000	1	3.14e-4						
216.0400	1	2.84e-4						
216.0800	1	1.21e-4						
216.1200	1	3.10e-5						
216.1600	1	3.00e-6						
216.2000	1	0						
216.2400	1	0						
216.2800	1	0						
216.3200	1	0						
216.3600	1	0						
216.4000	1	0						
216.4400	1	0						
216.4800	1	0						
216.5200	1	0						
216.5600	1	0						
216.6000	1	0						
216.6400	1	0						
216.6800	1	0						
216.7200	1	0						
216.7600	1	0						
216.8000	1	0						
216.8400	1	0						
216.8800	1	0						
216.9200	1	0						
216.9600	1	0						
217.0000	1	1.80e-5						
217.0400	1	2.32e-4						
217.0800	1	3.92e-4						
217.1200	1	2.14e-4						
217.1600	1	6.60e-5						
217.2000	1	1.20e-5						
217.2400	1	0						
217.2800	1	0						
217.3200	1	0						
217.3600	1	0						
217.4000	1	0						
217.4400	1	0						
217.4800	1	0						
217.5200	1	0						
217.5600	1	0						
217.6000	1	0						
217.6400	1	0						
217.6800	1	0						
217.7200	1	0						
217.7600	1	0						
217.8000	1	0						
217.8400	1	0						
217.8800	1	0						
217.9200	1	0						
217.9600	1	0						
218.0000	1	1.62e-4						
218.0400	1	9.68e-4						
218.0800	1	0.00105						
218.1200	1	4.97e-4						
218.1600	1	1.48e-4						
218.2000	1	1.80e-5						
218.2400	1	0						
218.2800	1	0						
218.3200	1	0						
218.3600	1	0						
218.4000	1	0						
218.4400	1	0						
218.4800	1	0						
218.5200	1	0						
218.5600	1	0						
218.6000	1	0						
218.6400	1	0						
218.6800	1	0						
218.7200	1	0						
218.7600	1	0						
218.8000	1	0						
218.8400	1	0						
218.8800	1	0						
218.9200	1	7.00e-6						
